epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,893.062,0.78624,0.59209,1.21246,0.8671,0.92802,0.91955,0.67981,0.97948,0.58413,1.45442,0.000297125,0.000297125,0.000297125
79,904.641,0.77188,0.57621,1.20877,0.88453,0.9283,0.91645,0.67575,0.99501,0.5766,1.49009,0.00028475,0.00028475,0.00028475
80,916.211,0.77297,0.5736,1.20204,0.89827,0.85978,0.90452,0.66359,1.01476,0.62267,1.50875,0.000272375,0.000272375,0.000272375
81,927.776,0.76183,0.56756,1.20167,0.91345,0.87685,0.91172,0.67342,1.0365,0.5687,1.51884,0.00026,0.00026,0.00026
82,939.35,0.75404,0.56087,1.1942,0.8885,0.92728,0.93842,0.70132,0.99062,0.53049,1.50447,0.000247625,0.000247625,0.000247625
83,950.864,0.73896,0.5607,1.18513,0.88869,0.89551,0.91119,0.675,0.99351,0.56491,1.50274,0.00023525,0.00023525,0.00023525
84,962.328,0.74338,0.55782,1.19068,0.84336,0.92072,0.91121,0.68368,1.01459,0.57764,1.50963,0.000222875,0.000222875,0.000222875
85,973.938,0.7509,0.54514,1.18819,0.87547,0.90208,0.90605,0.67306,1.00716,0.58913,1.49311,0.0002105,0.0002105,0.0002105
86,985.432,0.73452,0.5383,1.17038,0.87207,0.92019,0.90492,0.67077,1.01075,0.59756,1.48446,0.000198125,0.000198125,0.000198125
87,996.929,0.72753,0.53925,1.17817,0.88018,0.89035,0.91771,0.67463,1.00142,0.61581,1.51643,0.00018575,0.00018575,0.00018575
88,1008.48,0.73121,0.54222,1.18065,0.86687,0.91055,0.91673,0.68466,0.97875,0.59168,1.52373,0.000173375,0.000173375,0.000173375
89,1020.02,0.72665,0.53226,1.17554,0.88148,0.92266,0.92845,0.69675,0.94142,0.56012,1.47249,0.000161,0.000161,0.000161
90,1031.56,0.70919,0.53976,1.16288,0.88573,0.89146,0.9334,0.69568,1.01443,0.58047,1.52196,0.000148625,0.000148625,0.000148625
91,1043.64,0.65852,0.35653,1.19381,0.88196,0.9131,0.90485,0.65144,1.01414,0.56709,1.56437,0.00013625,0.00013625,0.00013625
92,1055.1,0.62397,0.3228,1.15972,0.85749,0.91247,0.89961,0.66186,0.99018,0.58024,1.54858,0.000123875,0.000123875,0.000123875
93,1066.74,0.62251,0.31845,1.1583,0.89624,0.9079,0.9024,0.67928,0.96763,0.55562,1.52968,0.0001115,0.0001115,0.0001115
94,1078.47,0.61295,0.31408,1.15369,0.88804,0.91211,0.89557,0.66818,0.93483,0.58759,1.49194,9.9125e-05,9.9125e-05,9.9125e-05
95,1090.26,0.59177,0.29928,1.13839,0.88373,0.91027,0.89598,0.66506,0.97485,0.59895,1.51072,8.675e-05,8.675e-05,8.675e-05
96,1102.05,0.58325,0.29973,1.12793,0.88565,0.88435,0.89301,0.67503,0.93807,0.61688,1.50557,7.4375e-05,7.4375e-05,7.4375e-05
97,1113.84,0.58191,0.29361,1.12883,0.86224,0.90778,0.89168,0.6647,0.93851,0.6034,1.48898,6.2e-05,6.2e-05,6.2e-05
98,1125.66,0.57093,0.29379,1.12645,0.87522,0.90596,0.89831,0.67366,0.92684,0.58517,1.4744,4.9625e-05,4.9625e-05,4.9625e-05
99,1137.39,0.57025,0.29335,1.12789,0.8881,0.8807,0.90058,0.67778,0.93119,0.5923,1.48961,3.725e-05,3.725e-05,3.725e-05
100,1149.24,0.56314,0.2868,1.11019,0.8891,0.88241,0.89412,0.67418,0.93865,0.58929,1.50415,2.4875e-05,2.4875e-05,2.4875e-05
